2026-05-24 01:02:30,945 | INFO | main | Running validation engine...
2026-05-24 01:02:30,945 | INFO | validation | Starting validation engine
2026-05-24 01:02:30,945 | INFO | validation | Generating portfolio summary
2026-05-24 01:02:30,952 | INFO | validation | Running drift analysis
2026-05-24 01:02:34,532 | INFO | validation | Running bias analysis
2026-05-24 01:02:34,532 | INFO | validation | Generating risk distribution
2026-05-24 01:02:34,534 | INFO | validation | Analyzing top risk segments
2026-05-24 01:02:34,534 | INFO | validation | Validation completed
2026-05-24 01:02:34,534 | INFO | main | Initializing RAG pipeline...
2026-05-24 01:03:04,166 | INFO | rag_pipeline | Creating new vector database
2026-05-24 01:03:04,167 | INFO | rag_pipeline | Building vector database
2026-05-24 01:03:04,167 | INFO | rag_pipeline | Loading regulatory PDFs
2026-05-24 01:03:04,167 | INFO | rag_pipeline | Loading PDF: ifrs9Z_financial_instruments.pdf
2026-05-24 01:03:04,700 | INFO | rag_pipeline | Loading PDF: rbi_digital_lending_directions_2025.pdf
2026-05-24 01:03:04,833 | INFO | rag_pipeline | Loading PDF: eu_ai_act_annex_iii.pdf
2026-05-24 01:03:04,864 | INFO | rag_pipeline | Loading PDF: ecb_ssm_priorities_2026_2028.pdf
2026-05-24 01:03:05,179 | INFO | rag_pipeline | Loaded 231 pages
2026-05-24 01:03:05,179 | INFO | rag_pipeline | Chunking documents
2026-05-24 01:03:05,185 | INFO | rag_pipeline | Generated 656 chunks
2026-05-24 01:03:05,185 | INFO | rag_pipeline | Valid chunks: 656
2026-05-24 01:03:05,185 | INFO | rag_pipeline | Creating FAISS embeddings
2026-05-24 01:03:05,185 | INFO | rag_pipeline | Embedding batch 0 -> 64
2026-05-24 19:48:50,032 | INFO | main | Loading dataset...
2026-05-24 19:48:50,033 | INFO | main | Starting preprocessing...
2026-05-24 19:48:50,033 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-24 19:48:50,033 | INFO | preprocessing | Loading raw dataset
2026-05-24 19:50:48,786 | INFO | preprocessing | Dataset Shape: (2260701, 151)
2026-05-24 19:50:54,298 | INFO | preprocessing | Removed 0 duplicate rows
2026-05-24 19:50:54,858 | INFO | preprocessing | Removed 15 leakage columns
2026-05-24 19:50:54,995 | INFO | preprocessing | Creating default target
2026-05-24 19:50:55,273 | INFO | preprocessing | Processing date columns
2026-05-24 19:50:55,490 | INFO | preprocessing | Processing employment length
2026-05-24 19:50:55,774 | INFO | preprocessing | Processing percentage columns
2026-05-24 19:50:57,148 | INFO | preprocessing | Creating risk features
2026-05-24 19:50:57,194 | INFO | preprocessing | Dropping high null columns
2026-05-24 19:50:58,279 | INFO | preprocessing | Dropped 38 high-null columns
2026-05-24 19:50:58,408 | INFO | preprocessing | Handling missing values
2026-05-24 19:51:02,164 | INFO | preprocessing | Encoding categorical columns
2026-05-24 19:51:09,928 | INFO | preprocessing | Selecting final features
2026-05-24 19:51:10,009 | INFO | preprocessing | Optimizing memory
2026-05-24 19:51:10,306 | INFO | preprocessing | Preprocessing completed
2026-05-24 19:51:10,306 | INFO | preprocessing | Final Shape: (2260701, 23)
2026-05-24 19:51:10,306 | INFO | main | Training PD model...
2026-05-24 19:51:10,306 | INFO | risk_model | Preparing train/test datasets
2026-05-24 19:51:10,758 | INFO | risk_model | Training XGBoost model
2026-05-24 19:51:17,855 | INFO | risk_model | Training completed
2026-05-24 19:51:17,855 | INFO | risk_model | Evaluating model
2026-05-24 19:51:18,508 | INFO | risk_model | Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 19:51:18,508 | INFO | main | Model Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 19:51:19,570 | INFO | main | Running ECL engine...
